"tic","invest"
"JOBS",1110.88
"JRJC",1095.91
"JRVR",1081.43
"JVA",1101.6
"KALO",1094.98
"KAS.",1094.98
"KBLB",1095.07
"KBR",1104.78
"KBRLF",1092.65
"KBSF",1095.67
"KCAP",1097.18
"KDIAF",1090.13
"KED",1075.41
"KFFB",1095.42
"KIE",1071.53
"KNDI",1089.62
"KONA",1108.18
"KOP",1049.82
"KRA",1091.89
"KRNY",1092.19
"KS",1110.73
"LATNF",1095.44
"LAZ",1137.01
"LCS.",1091.14
"LDOS",1065.29
"LEAT",1096.58
"LEMIF",1095.1
"LFBCF",1092.88
"LFGP",1072.43
"LGCY",1089.94
"LHCG",1021.03
"LINC",1101.35
"LIXT",1094.8
"LL",1107.86
"LLNW",1095.94
"LMAT",1105.96
"LMTCF",1094.93
"LNGG",1095.7
"LPL",1096.65
"LPLA",1115.36
"LQDT",1099.51
"LQSIF",1094.66
"LRAXF",1092.33
"LRN",1084.83
"LRTNF",1093.93
"LSBK",1090.38
"LTXB",1058.6
"LULU",1158.88
"LUNA",1094.62
"LVS",1176.89
"LYDIF",1094.89
"LYV",1103.57
"MAIN",1085.61
"MALZF",1095.07
"MAMS",1090.82
"MARK",1098.31
"MASI",1058.3
"MAYGF",1094.89
"MBGNF",1094.98
"MCESF",1093.43
"MCIG",1094.78
"MDFZF",1094.96
"MDLNF",1095.04
"MDXG",1098.23
"MELI",1210.88
"MFCSF",1100.39
"MFMLD",1095.01
"MGYR",1090.38
"MHLD",1087.71
"MIC",1097.43
"MIDLF",1094.98
"MIMZF",1095.08
"MISVF",1094.35
"MITL",1105.89
"MKGI",1094.98
"MLCO",1120.36
"MLIXF",1095.16
"MLNLF",1100.21
"MLNX",1099.97
"MNARF",1089.53
"MNOV",1096.07
"MNTX",1080.21
"MOBQ",1094.62
"MOLOF",1094.69
"MOS",1078.49
"MOST",1096.12
"MPMQ",1093.49
"MPO",1053.12
"MPW",1088.59
"MPWR",1109.51
"MRTX",1159.36
"MRZLF",1092.54
"MSBF",1086.43
"MSCI",1108.95
"MSIXF",1094.89
"MTST",1090.66
"MWA",1090.42
"MWSNF",1094.62
"MXGBF",1139.96
"MXSG",1094.82
"MYND",1109.8
"NBY",1100.52
"NCIT",1079.4
"NCMI",1089.34
"NCTY",1099.33
"NECB",1096.66
"NEGXF",1094.95
"NEON",1094.31
"NES",1094.89
"NETE",1087.78
"NEUL",1096.25
"NEWRF",1095.15
"NEWS",1100.59
"NFBK",1095.37
"NFYEF",1059.63
"NHAWF",1094.83
"NIGTF",1094.86
"NLST",1096.25
"NM",1097.03
"NMGGF",1094.95
"NMM",1094.95
"NNADF",1094.75
"NNVC",1098.49
"NOA",1086.15
"NOW",1122.69
"NP",1065.18
"NRBC",1094.15
"NSH",1067.05
"NSR",1092.72
"NSRCF",1095.01
"NSRPF",1093.5
"NSY.H",1095.21
"NUPMF",1094.78
"NVDQ",1113.55
"NWPIF",1095.13
"NXTM",1077.38
"NYF",1077.7
"OB",1087.43
"OESX",1094.53
"OFLX",1044.82
"OGLDF",1095.7
"OHAI",1107.08
"OISDF",1092.33
"OMAB",1106.78
"OMTK",1094.35
"ONP",1095.26
"ONVO",1090.02
"OPNT",1094.81
"OPSSF",1092.02
"ORA",1086.03
"ORBC",1099.5
"OREX",1108.85
"ORIT",1089.27
"ORMP",1084.91
"ORN",1092.88
"ORRLF",1098.53
"OSNDF",1094.61
"OTEL",1094.05
"OTTW",1097.38
"OY.",1094.68
"OZM",1100.5
"PAC",1030.64
"PANW",953.08
"PAY",1047.96
"PBBI",1092.25
"PBH",1047.68
"PBIB",1072.03
"PBIP",1089.88
"PBKOF",1095.22
"PBSV",1094.97
"PBW",1095.86
"PBYI",1296.02
"PCQRF",1094.7
"PDOB",1089.66
"PDPYF",1081.5
"PDTRF",1094.03
"PEIX",1091.34
"PEO.",1090.83
"PERI",1097.36
"PFIE",1094.51
"PFMT",1100.99
"PFPT",1103.69
"PGDIF",1094.81
"PGTI",1091.72
"PHNHF",1092.43
"PHOT",1094.96
"PIFYF",1094.35
"PIRGF",1095.67
